ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\_tensor.py:1203(__iter__)
74,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:549(im)
169,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:561(size)
271,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:565(mode)
108,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:573(readonly)
81,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:569(readonly)
5,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3710(register_mime)
5,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3725(register_save)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:3738(register_save_all)
2,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\_tensor.py:1249(__array__)
207,0.003,0.000,5.196,0.025,C:\Python314\Lib\asyncio\windows_events.py:762(_poll)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\transports.py:297(_maybe_resume_protocol)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\ipaddress.py:1272(__init__)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\transports.py:279(_maybe_pause_protocol)
9,0.000,0.000,0.006,0.001,C:\Python314\Lib\site-packages\PIL\Image.py:3251(fromarray)
112,0.000,0.000,0.000,0.000,{built-in method torch._C._get_cudnn_enabled}
2,0.000,0.000,0.000,0.000,{built-in method torch.get_default_dtype}
82,0.000,0.000,0.000,0.000,{built-in method torch._C._has_torch_function_unary}
112,0.003,0.000,0.003,0.000,{built-in method torch._C._has_torch_function_variadic}
4,0.000,0.000,0.000,0.000,{built-in method torch._C._set_grad_enabled}
6,0.000,0.000,0.000,0.000,{built-in method torch.is_grad_enabled}
4,0.000,0.000,0.000,0.000,{built-in method torch.as_tensor}
3,0.000,0.000,0.000,0.000,{built-in method torch.from_numpy}
6,0.002,0.000,0.002,0.000,{built-in method torch.feature_dropout}
6,0.010,0.002,0.010,0.002,{built-in method torch.sigmoid}
32,0.004,0.000,0.004,0.000,{built-in method torch.transpose}
4,0.000,0.000,0.000,0.000,{built-in method torch.unsqueeze}
118,3.788,0.032,3.788,0.032,{built-in method torch.conv2d}
112,0.724,0.006,0.724,0.006,{built-in method torch.batch_norm}
34,0.325,0.010,0.325,0.010,{built-in method torch.cat}
6,0.008,0.001,0.008,0.001,{built-in method torch.exp}
6,0.035,0.006,0.035,0.006,{built-in method torch.pixel_shuffle}
74,0.330,0.004,0.330,0.004,{built-in method torch.relu_}
34,0.341,0.010,0.341,0.010,{method 'contiguous' of 'torch._C.TensorBase' objects}
2,0.000,0.000,0.000,0.000,{method 'cpu' of 'torch._C.TensorBase' objects}
120,0.000,0.000,0.000,0.000,{method 'dim' of 'torch._C.TensorBase' objects}
4,0.000,0.000,0.000,0.000,{method 'numpy' of 'torch._C.TensorBase' objects}
32,0.000,0.000,0.000,0.000,{method 'size' of 'torch._C.TensorBase' objects}
5,0.011,0.002,0.011,0.002,{method 'to' of 'torch._C.TensorBase' objects}
2,0.002,0.001,0.002,0.001,{method 'add_' of 'torch._C.TensorBase' objects}
2,0.000,0.000,0.000,0.000,{method 'any' of 'torch._C.TensorBase' objects}
26,0.003,0.000,0.003,0.000,{method 'chunk' of 'torch._C.TensorBase' objects}
2,0.005,0.002,0.005,0.002,{method 'clone' of 'torch._C.TensorBase' objects}
2,0.005,0.003,0.005,0.003,{method 'div' of 'torch._C.TensorBase' objects}
2,0.002,0.001,0.002,0.001,{method 'div_' of 'torch._C.TensorBase' objects}
2,0.000,0.000,0.000,0.000,{method 'is_floating_point' of 'torch._C.TensorBase' objects}
2,0.000,0.000,0.000,0.000,{method 'permute' of 'torch._C.TensorBase' objects}
2,0.002,0.001,0.002,0.001,{method 'sub_' of 'torch._C.TensorBase' objects}
2,0.000,0.000,0.000,0.000,{method 'unbind' of 'torch._C.TensorBase' objects}
102,0.002,0.000,0.002,0.000,{method 'view' of 'torch._C.TensorBase' objects}
4,0.000,0.000,0.000,0.000,{built-in method torch._C._is_tracing}
414,0.004,0.000,0.004,0.000,{built-in method torch._C._get_tracing_state}
4,0.000,0.000,0.000,0.000,{built-in method torch._C._log_api_usage_once}
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\urllib\parse.py:782(parse_qsl)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\windows_events.py:483(recv)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\urllib\parse.py:976(quote_from_bytes)
1,0.000,0.000,0.000,0.000,{built-in method matplotlib.backends._tkagg.enable_dpi_awareness}
90,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\PIL\Image.py:868(load)
230,0.001,0.000,0.001,0.000,C:\Python314\Lib\asyncio\events.py:41(__init__)
12,0.000,0.000,0.001,0.000,C:\Python314\Lib\asyncio\proactor_events.py:338(write)
88,0.000,0.000,0.002,0.000,C:\Python314\Lib\asyncio\base_events.py:799(call_at)
872,0.002,0.000,0.002,0.000,C:\Python314\Lib\site-packages\torch\nn\modules\module.py:1952(__getattr__)
6,0.000,0.000,0.001,0.000,C:\Python314\Lib\asyncio\base_events.py:870(call_soon_threadsafe)
224,0.001,0.000,1.382,0.006,C:\Python314\Lib\asyncio\events.py:92(_run)
412/4,0.010,0.000,8.379,2.095,C:\Python314\Lib\site-packages\torch\nn\modules\module.py:1780(_call_impl)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\queue.py:137(put)
5,0.000,0.000,0.000,0.000,C:\Python314\Lib\queue.py:177(get)
6,0.000,0.000,0.002,0.000,C:\Python314\Lib\asyncio\proactor_events.py:276(_loop_reading)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\windows_events.py:496(recv_into)
6,0.000,0.000,0.002,0.000,C:\Python314\Lib\site-packages\torch\nn\functional.py:1519(dropout2d)
12,0.000,0.000,0.001,0.000,C:\Python314\Lib\asyncio\windows_events.py:539(send)
1,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:63(__getitem__)
207,0.005,0.000,7.633,0.037,C:\Python314\Lib\asyncio\base_events.py:1966(_run_once)
18,0.000,0.000,0.002,0.000,C:\Python314\Lib\asyncio\proactor_events.py:376(_loop_writing)
25,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:281(_parse_path)
24,0.000,0.000,0.001,0.000,C:\Python314\Lib\asyncio\windows_events.py:715(_register)
188,0.001,0.000,0.006,0.000,C:\Python314\Lib\asyncio\tasks.py:687(sleep)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\proactor_events.py:791(_loop_self_reading)
24,0.000,0.000,0.000,0.000,C:\Python314\Lib\ipaddress.py:1208(_parse_octet)
6,0.000,0.000,0.001,0.000,C:\Python314\Lib\asyncio\proactor_events.py:251(_data_received)
25,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:261(_format_parsed_parts)
112,0.002,0.000,0.729,0.007,C:\Python314\Lib\site-packages\torch\nn\functional.py:2811(batch_norm)
7,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:406(with_name)
33,0.000,0.000,0.000,0.000,C:\Python314\Lib\pathlib\__init__.py:135(__init__)
28,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\utils\_pytree.py:694(is_namedtuple_class)
112,0.002,0.000,0.732,0.007,C:\Python314\Lib\site-packages\torch\nn\modules\batchnorm.py:160(forward)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\site-packages\torch\_VF.py:27(__getattr__)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\multiprocessing\process.py:196(name)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\base_events.py:461(create_task)
136,0.000,0.000,0.002,0.000,C:\Python314\Lib\asyncio\base_events.py:817(call_soon)
412/4,0.004,0.000,8.380,2.095,C:\Python314\Lib\site-packages\torch\nn\modules\module.py:1772(_wrapped_call_impl)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\multiprocessing\process.py:37(current_process)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\queue.py:72(task_done)
127,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\events.py:162(__lt__)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\queue.py:270(_put)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\queue.py:274(_get)
236,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\base_events.py:548(_check_closed)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\queue.py:217(put_nowait)
18,0.000,0.000,0.000,0.000,C:\Python314\Lib\queue.py:266(_qsize)
87,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\base_events.py:1961(_timer_handle_cancelled)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\base_events.py:752(is_closed)
88,0.001,0.000,0.003,0.000,C:\Python314\Lib\asyncio\base_events.py:775(call_later)
87,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\events.py:78(cancel)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\events.py:130(_run)
82,0.001,0.000,0.001,0.000,C:\Python314\Lib\asyncio\base_events.py:457(create_future)
400,0.000,0.000,0.001,0.000,C:\Python314\Lib\asyncio\base_events.py:766(time)
136,0.001,0.000,0.002,0.000,C:\Python314\Lib\asyncio\base_events.py:846(_call_soon)
435,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\base_events.py:2064(get_debug)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\events.py:118(__init__)
82,0.001,0.000,0.003,0.000,C:\Python314\Lib\asyncio\futures.py:319(_set_result_unless_cancelled)
88,0.000,0.000,0.001,0.000,C:\Python314\Lib\asyncio\events.py:146(__init__)
87,0.001,0.000,0.001,0.000,C:\Python314\Lib\asyncio\events.py:190(cancel)
24,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\windows_events.py:55(__init__)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\proactor_events.py:174(get_write_buffer_size)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\locks.py:167(__init__)
13,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\locks.py:182(set)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\ipaddress.py:1182(_ip_int_from_string)
24,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\tasks.py:675(__sleep0)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\proactor_events.py:100(is_closing)
24,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\windows_events.py:92(set_result)
24,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\windows_events.py:430(_check_closed)
24,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\windows_events.py:460(finish_socket_func)
24,0.000,0.000,0.000,0.000,C:\Python314\Lib\asyncio\windows_events.py:705(_register_with_iocp)
6,0.000,0.000,0.001,0.000,C:\Python314\Lib\asyncio\proactor_events.py:819(_write_to_self)
6,0.000,0.000,0.000,0.000,C:\Python314\Lib\urllib\parse.py:900(quote)
207,0.006,0.000,6.027,0.029,C:\Python314\Lib\asyncio\windows_events.py:444(select)
